server,spec_id,bucket_timestamp,bucket_str,rmb_per_wan,trading_volume,fetched_at
三清山,324996,1786939200000,2026-08-17 12,5.109,2803,2026-08-18T03:52:07.029Z
三清山,324996,1786942800000,2026-08-17 13,5.133,2931,2026-08-18T05:38:44.412Z
三清山,324996,1786946400000,2026-08-17 14,5.146,2352,2026-08-18T06:55:39.020Z
三清山,324996,1786950000000,2026-08-17 15,5.236,7865,2026-08-18T06:55:39.020Z
三清山,324996,1786953600000,2026-08-17 16,5.329,2005,2026-08-18T06:55:39.020Z
三清山,324996,1786957200000,2026-08-17 17,5.426,2865,2026-08-18T06:55:39.020Z
三清山,324996,1786960800000,2026-08-17 18,5.379,3552,2026-08-18T06:55:39.020Z
三清山,324996,1786964400000,2026-08-17 19,5.454,8395,2026-08-18T11:32:16.762Z
三清山,324996,1786968000000,2026-08-17 20,5.436,4620,2026-08-18T12:59:22.702Z
三清山,324996,1786971600000,2026-08-17 21,5.402,1557,2026-08-18T12:59:22.702Z
三清山,324996,1786975200000,2026-08-17 22,5.298,3838,2026-08-18T14:40:56.898Z
三清山,324996,1786978800000,2026-08-17 23,5.302,3478,2026-08-18T14:40:56.898Z
三清山,324996,1786982400000,2026-08-18 00,5.331,3545,2026-08-18T14:40:56.898Z
三清山,324996,1786986000000,2026-08-18 01,5.367,1941,2026-08-18T17:37:59.781Z
三清山,324996,1786989600000,2026-08-18 02,5.348,1352,2026-08-18T18:51:43.707Z
三清山,324996,1786993200000,2026-08-18 03,5.336,856,2026-08-18T19:33:27.017Z
三清山,324996,1786996800000,2026-08-18 04,5.358,591,2026-08-18T20:31:56.685Z
三清山,324996,1787000400000,2026-08-18 05,5.203,160,2026-08-18T21:31:03.145Z
三清山,324996,1787004000000,2026-08-18 06,5.203,0,2026-08-18T21:31:03.145Z
三清山,324996,1787007600000,2026-08-18 07,5.203,126,2026-08-18T21:31:03.145Z
三清山,324996,1787011200000,2026-08-18 08,5.218,135,2026-08-18T21:31:03.145Z
